bugFixingId;bugFixingTs;bugFixingFileChanged;bugInducingId;bugInducingTs;issueId;note
3637874e911b5b15103015285b6ac7b7703ea8cc;2014-06-01T06:00:27+0300;core/src/main/java/org/apache/oozie/service/StatusTransitService.java;;;OOZIE-1812;
3637874e911b5b15103015285b6ac7b7703ea8cc;2014-06-01T06:00:27+0300;core/src/test/java/org/apache/oozie/service/TestStatusTransitService.java;;;OOZIE-1812;No changed lines, only additions
74cb3b0bcd2dc2a712bd85c4d3b27fb2a57784fd;2014-05-31T01:35:14+0300;release-log.txt;;;OOZIE-1848;Ignored file type
74cb3b0bcd2dc2a712bd85c4d3b27fb2a57784fd;2014-05-31T01:35:14+0300;sharelib/pig/pom.xml;;;OOZIE-1848;Ignored file type
18401e614b581711477d63bf6b4a56f8e739dbf0;2014-05-31T00:35:53+0300;client/src/main/java/org/apache/oozie/client/CoordinatorAction.java;;;OOZIE-1319;
18401e614b581711477d63bf6b4a56f8e739dbf0;2014-05-31T00:35:53+0300;core/src/main/java/org/apache/oozie/CoordinatorActionBean.java;;;OOZIE-1319;
18401e614b581711477d63bf6b4a56f8e739dbf0;2014-05-31T00:35:53+0300;core/src/main/java/org/apache/oozie/CoordinatorJobBean.java;;;OOZIE-1319;
18401e614b581711477d63bf6b4a56f8e739dbf0;2014-05-31T00:35:53+0300;core/src/main/java/org/apache/oozie/command/coord/CoordActionInputCheckXCommand.java;;;OOZIE-1319;No changed lines, only additions
ee8ef73f2bc71ecebba8262994caffa31bb68776;2014-05-30T20:52:22+0300;release-log.txt;;;OOZIE-1862;Ignored file type
ee8ef73f2bc71ecebba8262994caffa31bb68776;2014-05-30T20:52:22+0300;sharelib/hive/src/main/java/org/apache/oozie/action/hadoop/HiveMain.java;;;OOZIE-1862;No changed lines, only additions
853a4af9f06348e2bd95793e1d1b6c1e6a9949e1;2014-05-28T20:38:55+0300;core/src/main/java/org/apache/oozie/service/CoordMaterializeTriggerService.java;;;OOZIE-1844;
853a4af9f06348e2bd95793e1d1b6c1e6a9949e1;2014-05-28T20:38:55+0300;release-log.txt;;;OOZIE-1844;Ignored file type
373a52ff28a2b41aed9a8950f24f974523fc19e9;2014-05-28T01:15:39+0300;core/src/main/java/org/apache/oozie/util/db/SLADbOperations.java;;;OOZIE-1834;
373a52ff28a2b41aed9a8950f24f974523fc19e9;2014-05-28T01:15:39+0300;core/src/main/java/org/apache/oozie/util/db/SLADbXOperations.java;;;OOZIE-1834;
373a52ff28a2b41aed9a8950f24f974523fc19e9;2014-05-28T01:15:39+0300;core/src/test/java/org/apache/oozie/util/db/TestSLADbOperations.java;;;OOZIE-1834;No changed lines, only additions
2a85bfe253e8f289051797eddf4b52de0b9e475a;2014-05-28T00:06:19+0300;core/src/main/java/org/apache/oozie/service/JPAService.java;;;OOZIE-1838;No changed lines, only additions
252300c62c0a0f5d4efb483fbc0fdb135dd27469;2014-05-27T20:45:00+0300;core/src/main/java/org/apache/oozie/command/coord/CoordMaterializeTransitionXCommand.java;;;OOZIE-1819;
252300c62c0a0f5d4efb483fbc0fdb135dd27469;2014-05-27T20:45:00+0300;release-log.txt;;;OOZIE-1819;Ignored file type
b9c3e0b0c9a62094d2a53034de53d6b4cc62b7c2;2014-05-23T03:19:47+0300;core/src/main/java/org/apache/oozie/service/ShareLibService.java;;;OOZIE-1783;
b9c3e0b0c9a62094d2a53034de53d6b4cc62b7c2;2014-05-23T03:19:47+0300;core/src/main/resources/oozie-default.xml;;;OOZIE-1783;Ignored file type
b9c3e0b0c9a62094d2a53034de53d6b4cc62b7c2;2014-05-23T03:19:47+0300;core/src/test/java/org/apache/oozie/service/TestShareLibService.java;;;OOZIE-1783;
b9c3e0b0c9a62094d2a53034de53d6b4cc62b7c2;2014-05-23T03:19:47+0300;release-log.txt;;;OOZIE-1783;Ignored file type
b9c3e0b0c9a62094d2a53034de53d6b4cc62b7c2;2014-05-23T03:19:47+0300;tools/src/test/java/org/apache/oozie/tools/TestOozieSharelibCLI.java;;;OOZIE-1783;
65e2109dfa8a19ece782babcea8e110d8bdb6814;2014-05-21T02:29:25+0300;core/src/main/java/org/apache/oozie/service/ZKXLogStreamingService.java;;;OOZIE-1689;
65e2109dfa8a19ece782babcea8e110d8bdb6814;2014-05-21T02:29:25+0300;core/src/main/java/org/apache/oozie/util/AuthUrlClient.java;;;OOZIE-1689;No changed lines, only additions
91df71edca0d7590da7dafc30936a397d2e1463d;2014-05-16T20:35:48+0300;core/src/main/java/org/apache/oozie/sla/listener/SLAEmailEventListener.java;;;OOZIE-1835;
91df71edca0d7590da7dafc30936a397d2e1463d;2014-05-16T20:35:48+0300;core/src/test/java/org/apache/oozie/sla/TestSLAEmailEventListener.java;;;OOZIE-1835;No changed lines, only additions
2dfaa4a74f9336cf27769483783760950bca0b94;2014-05-16T19:08:00+0300;core/src/main/java/org/apache/oozie/util/XLogFilter.java;;;OOZIE-1737;No changed lines, only additions
7f5398830038ef88080f9d89ed59bb02e8adb4b1;2014-05-14T22:01:58+0300;core/src/main/java/org/apache/oozie/command/wf/JobXCommand.java;;;OOZIE-1809;
7f5398830038ef88080f9d89ed59bb02e8adb4b1;2014-05-14T22:01:58+0300;release-log.txt;;;OOZIE-1809;Ignored file type
f82c1240846b52b7c27a26c934fb174edebe5446;2014-05-14T20:53:47+0300;client/src/main/java/org/apache/oozie/cli/OozieCLI.java;;;OOZIE-1791;No changed lines, only additions
a0aa6fbdfab47e803d36f8540ca28063907cb472;2014-05-13T23:58:48+0300;core/src/main/java/org/apache/oozie/service/WorkflowAppService.java;;;OOZIE-1825;
a0aa6fbdfab47e803d36f8540ca28063907cb472;2014-05-13T23:58:48+0300;core/src/test/java/org/apache/oozie/command/wf/TestSubmitXCommand.java;;;OOZIE-1825;
a0aa6fbdfab47e803d36f8540ca28063907cb472;2014-05-13T23:58:48+0300;release-log.txt;;;OOZIE-1825;Ignored file type
83dec8b0ebe37c84e2aabce35b60ed865b51b028;2014-05-13T20:03:01+0300;release-log.txt;;;OOZIE-1831;Ignored file type
83dec8b0ebe37c84e2aabce35b60ed865b51b028;2014-05-13T20:03:01+0300;tools/src/main/java/org/apache/oozie/tools/OozieDBCLI.java;;;OOZIE-1831;
d779344622eae4b3dc1aa950d66010f440daa621;2014-05-13T03:26:17+0300;core/src/test/java/org/apache/oozie/action/hadoop/TestShellActionExecutor.java;;;OOZIE-1690;
d779344622eae4b3dc1aa950d66010f440daa621;2014-05-13T03:26:17+0300;release-log.txt;;;OOZIE-1690;Ignored file type
d779344622eae4b3dc1aa950d66010f440daa621;2014-05-13T03:26:17+0300;sharelib/oozie/src/main/java/org/apache/oozie/action/hadoop/ShellMain.java;;;OOZIE-1690;No changed lines, only additions
3e73f4e9aff0c3964067930355f7601c3c45cd89;2014-05-07T18:54:50+0300;release-log.txt;;;OOZIE-1243;Ignored file type
3e73f4e9aff0c3964067930355f7601c3c45cd89;2014-05-07T18:54:50+0300;src/main/assemblies/tools.xml;;;OOZIE-1243;Ignored file type
3e73f4e9aff0c3964067930355f7601c3c45cd89;2014-05-07T18:54:50+0300;tools/pom.xml;;;OOZIE-1243;Ignored file type
6e2e46a98fa59377134ec0f5303ead1b6f1c7532;2014-05-06T20:16:45+0300;core/src/main/java/org/apache/oozie/action/hadoop/JavaActionExecutor.java;;;OOZIE-1806;
6e2e46a98fa59377134ec0f5303ead1b6f1c7532;2014-05-06T20:16:45+0300;core/src/main/java/org/apache/oozie/util/JobUtils.java;;;OOZIE-1806;No changed lines, only additions
9c91c814c2929d7d18880800a18b87f6d2e5a683;2014-05-06T20:04:53+0300;release-log.txt;;;OOZIE-1823;Ignored file type
9c91c814c2929d7d18880800a18b87f6d2e5a683;2014-05-06T20:04:53+0300;tools/src/main/java/org/apache/oozie/tools/OozieSharelibCLI.java;;;OOZIE-1823;
7c35bec3f4fc9c67540a97f42d99ef7c94f12425;2014-05-01T20:22:18+0300;core/src/main/java/org/apache/oozie/action/hadoop/JavaActionExecutor.java;;;OOZIE-1762;No changed lines, only additions
ef513d2853ce943ce3fea6aa6a3f6c9bdec25f63;2014-05-01T20:16:07+0300;core/src/main/java/org/apache/oozie/coord/CoordELFunctions.java;;;OOZIE-1709;
ef513d2853ce943ce3fea6aa6a3f6c9bdec25f63;2014-05-01T20:16:07+0300;core/src/test/java/org/apache/oozie/coord/TestCoordELFunctions.java;;;OOZIE-1709;
ef513d2853ce943ce3fea6aa6a3f6c9bdec25f63;2014-05-01T20:16:07+0300;release-log.txt;;;OOZIE-1709;Ignored file type
