bugFixingId;bugFixingTs;bugFixingFileChanged;bugInducingId;bugInducingTs;bugFixingCommitMessage;note
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/action/ssh/SshActionExecutor.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/RerunTransitionXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/ResumeTransitionXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/SuspendTransitionXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/TransitionXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/XCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/BulkCoordXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/CoordActionInputCheckXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/CoordActionsKillXCommand.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
76143a11ac765d786644e49c34f760c89a364d88;2019-03-04T13:27:03+0000;core/src/main/java/org/apache/oozie/command/coord/CoordCommandUtils.java;;;oozie-1702 [build] fix javadoc warnings (dionusos via kmarton);No changed lines, only additions
